Company Name,CEO Name,CEO Pay,Median Employee Pay,CEO Pay Ratio,GICS Sector,GICS Sub-Industry,From Salary.com?
Interpublic Group,Michael I. Roth,16590172,71835,231,Communication Services,Advertising,yes
International Flavors & Fragrances,Andreas Fibig,7629084,38981,196,Materials,Specialty Chemicals,yes
Intuit Inc.,Sasan K. Goodarzi,17933345,157232,114,Information Technology,Application Software,yes
Intuitive Surgical Inc.,Gary S. Guthart Ph.D.,6470374,157267,41,Health Care,Health Care Equipment,yes
Invesco Ltd.,Martin L. Flanagan,11518949,125282,92,Financials,Asset Management & Custody Banks,yes
IPG Photonics Corp.,Valentin P. Gapontsev,1251984,31205,40,Information Technology,Electronic Manufacturing Services,yes
IQVIA Holdings Inc.,Ari Bousbib,21555899,118891,181,Health Care,Life Sciences Tools & Services,partial
Iron Mountain Incorporated,William L. Meaney,10888949,39267,277,Real Estate,Specialized REITs,yes
Jack Henry & Associates,David B. Foss,11015251,74508,148,Information Technology,Data Processing & Outsourced Services,yes
Jacobs Engineering Group,Steven J. Demetriou,14627254,79733,183,Industrials,Construction & Engineering,yes
J. B. Hunt Transport Services,John N. Roberts III,6588249,65663,100,Industrials,Trucking,yes
JM Smucker,Mark T. Smucker,10728961,79071,136,Consumer Staples,Packaged Foods & Meats,yes
Johnson & Johnson,Alex Gorsky,25380258,76000,334,Health Care,Pharmaceuticals,yes
Johnson Controls International,George R. Oliver,15476638,41987,369,Industrials,Building Products,yes
JPMorgan Chase & Co.,James Dimon,30040153,78923,381,Financials,Diversified Banks,yes
Juniper Networks,Rami Rahim,11129890,129616,86,Information Technology,Communications Equipment,yes
Kansas City Southern,Patrick J. Ottensmeyer,5523327,48187,115,Industrials,Railroads,yes
Kellogg Co.,Steve Cahillane,9694223,38895,249,Consumer Staples,Packaged Foods & Meats,yes
KeyCorp,Beth E. Mooney,9663988,63748,152,Financials,Regional Banks,yes
Keysight Technologies,Ronald S. Nersesian,11124216,84714,131,Information Technology,Electronic Equipment & Instruments,yes
Kimberly-Clark,Michael D. Hsu,12028120,47328,254,Consumer Staples,Household Products,yes
Kimco Realty,Conor C. Flynn,6948567,102500,68,Real Estate,Retail REITs,yes
Kinder Morgan,Steven J. Kean,7270,111546,0,Energy,Oil & Gas Storage & Transportation,yes
KLA Corporation,Richard Wallace,13324375,85924,155,Information Technology,Semiconductor Equipment,yes
Kraft Heinz Co,Bernardo Hees,29047768,47612,610,Consumer Staples,Packaged Foods & Meats,yes
Kroger Co.,W. Rodney McMullen,12037872,24912,483,Consumer Staples,Food Retail,yes
L Brands Inc.,Leslie H. Wexner,3783221,13490,280,Consumer Discretionary,Apparel Retail,yes
L3Harris Technologies,William M. Brown,15745630,58426,269,Industrials,Aerospace & Defense,yes
Laboratory Corp. of America Holding,Adam H. Schechter,13138362,41834,314,Health Care,Health Care Services,yes
Lam Research,Timothy M. Archer,11753004,104541,112,Information Technology,Semiconductor Equipment,yes
Lamb Weston Holdings Inc,Thomas P. Werner,6837282,55629,123,Consumer Staples,Packaged Foods & Meats,yes
Las Vegas Sands,Sheldon G. Adelson,24680118,42228,584,Consumer Discretionary,Casinos & Gaming,yes
Leggett & Platt,Karl G. Glassman,10204342,36441,280,Consumer Discretionary,Home Furnishings,yes
Leidos Holdings,Roger A. Krone,10671271,103657,103,Information Technology,IT Consulting & Other Services,yes
Lennar Corp.,Rick Beckwitt,18279581,102830,178,Consumer Discretionary,Homebuilding,yes
Lilly (Eli) & Co.,David A. Ricks,21283242,96290,221,Health Care,Pharmaceuticals,yes
Lincoln National,DENNIS R. GLASS,14422495,70828,204,Financials,Multi-line Insurance,yes
Linde plc,Stephen F. Angel,66149326,40601,1629,Materials,Industrial Gases,yes
Live Nation Entertainment,Michael Rapino,14563122,18333,794,Communication Services,Movies & Entertainment,yes
LKQ Corporation,Dominick Zarcone,6429072,29945,215,Consumer Discretionary,Distributors,yes
Lockheed Martin Corp.,Marillyn A. Hewson,30900000,154883,200,Industrials,Aerospace & Defense,yes
Loews Corp.,James S. Tisch,9312872,72145,129,Financials,Multi-line Insurance,yes
Lowe's Cos.,Marvin R. Ellison,11621369,22748,511,Consumer Discretionary,Home Improvement Retail,yes
Lumen Technologies,Jeffery K. Storey,35655646,68674,527,Communication Services,Alternative Carriers,yes
LyondellBasell,Bob Patel,18206796,114759,159,Materials,Specialty Chemicals,yes
M&T Bank Corp.,René F. Jones,5704703,66768,85,Financials,Regional Banks,yes
Marathon Oil Corp.,Lee M. Tillman,12210874,116041,105,Energy,Oil & Gas Exploration & Production,yes
Marathon Petroleum,Gary R. Heminger,24129164,210248,115,Energy,Oil & Gas Refining & Marketing,yes
MarketAxess,Richard M. McVey,3844232,140455,27,Financials,Financial Exchanges & Data,yes
Marriott Int'l.,Arne M. Sorenson,13435887,38878,346,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",yes
Marsh & McLennan,Daniel S. Glaser,17281919,64238,269,Financials,Insurance Brokers,yes
Martin Marietta Materials,C. Howard Nye,8533458,71335,120,Materials,Construction Materials,yes
Masco Corp.,Keith J. Allman,8659363,40070,216,Industrials,Building Products,yes
Mastercard Inc.,Ajay Banga,23249977,138142,168,Information Technology,Data Processing & Outsourced Services,yes
McCormick & Co.,Lawrence E. Kurzius,12769184,31603,404,Consumer Staples,Packaged Foods & Meats,yes
Maxim Integrated Products Inc,Tunc Doluca,9143785,32372,282,Information Technology,Semiconductors,yes
McDonald's Corp.,Christopher Kempczinski,18012549,9291,1939,Consumer Discretionary,Restaurants,yes
McKesson Corp.,Brian S. Tyler,15435470,40601,380,Health Care,Health Care Distributors,yes
Medtronic plc,Omar Ishrak,14822740,62286,238,Health Care,Health Care Equipment,yes
Merck & Co.,Kenneth C. Frazier,27648475,95621,289,Health Care,Pharmaceuticals,yes
MetLife Inc.,Steven A. Kandarian,17439109,73464,237,Financials,Life & Health Insurance,yes
Mettler Toledo,Olivier A. Filliol,8755320,39445,222,Health Care,Life Sciences Tools & Services,yes
MGM Resorts International,James J. Murren,12849021,36192,355,Consumer Discretionary,Casinos & Gaming,yes
Microchip Technology,Steve Sanghi,6883381,43782,157,Information Technology,Semiconductors,yes
Micron Technology,Sanjay Mehrotra,16944751,60796,279,Information Technology,Semiconductors,yes
Microsoft Corp.,Satya Nadella,42910215,172512,249,Information Technology,Systems Software,yes
Mid-America Apartments,H. Eric Bolton Jr.,5735898,46088,124,Real Estate,Residential REITs,yes
Mohawk Industries,Jeffrey S. Lorberbaum,4631485,41747,111,Consumer Discretionary,Home Furnishings,yes
Molson Coors Beverage Company,Mark R. Hunter,8341482,73135,114,Consumer Staples,Brewers,yes
Mondelez International,Dirk Van de Put,18115449,32280,561,Consumer Staples,Packaged Foods & Meats,yes
Monster Beverage,Rodney C. Sacks,13914931,55370,251,Consumer Staples,Soft Drinks,yes
Moody's Corp,Raymond W. McDaniel,13751632,87393,157,Financials,Financial Exchanges & Data,yes
Morgan Stanley,James P. Gorman,31642395,127414,248,Financials,Investment Banking & Brokerage,yes
The Mosaic Company,"James (""Joc"") C. O'Rourke",9767104,37234,262,Materials,Fertilizers & Agricultural Chemicals,yes
Motorola Solutions Inc.,Gregory Q. Brown,23619990,93750,252,Information Technology,Communications Equipment,yes
MSCI Inc,Henry A. Fernandez,9255960,55857,166,Financials,Financial Exchanges & Data,yes
Mylan N.V.,Heather Bresch,13346299,42407,315,Health Care,Pharmaceuticals,yes
"Nasdaq, Inc.",Adena T. Friedman,13869051,120822,115,Financials,Financial Exchanges & Data,yes
National Oilwell Varco Inc.,Clay C. Williams,9253961,51374,180,Energy,Oil & Gas Equipment & Services,yes
NetApp,George Kurian,13164969,198620,66,Information Technology,"Technology Hardware, Storage & Peripherals",yes
Netflix Inc.,Reed Hastings,38577129,202931,190,Communication Services,Movies & Entertainment,yes
Newell Brands,Ravichandra K. Saligram,8624805,31704,272,Consumer Discretionary,Housewares & Specialties,yes
Newmont Corporation,Thomas Palmer,9098908,83522,109,Materials,Gold,yes
News Corp.,Robert Thomson,14747659,64666,228,Communication Services,Publishing,no
NextEra Energy,James L. Robo,21877597,129735,169,Utilities,Multi-Utilities,yes
Nielsen Holdings,David Kenny,12936400,32646,396,Industrials,Research & Consulting Services,yes
"Nike, Inc.",John J. Donahoe II,54451903,28142,1935,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",yes
NiSource Inc.,Joseph Hamrock,5778515,97754,59,Utilities,Multi-Utilities,yes
Norfolk Southern Corp.,James A. Squires,14290805,98477,145,Industrials,Railroads,yes
Northern Trust Corp.,Michael G. O'Grady,9459768,76636,123,Financials,Asset Management & Custody Banks,yes
Northrop Grumman,Kathy J. Warden,20307994,114667,177,Industrials,Aerospace & Defense,yes
NortonLifeLock,Vincent Pilette,20596491,92914,222,Information Technology,Application Software,yes
Norwegian Cruise Line Holdings,Frank J. Del Rio,22593061,20101,1124,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",yes
NRG Energy,Mauricio Gutierrez,9146053,114883,80,Utilities,Independent Power Producers & Energy Traders,yes
Nucor Corp.,John J. Ferriola,19099582,87573,218,Materials,Steel,yes
Nvidia Corporation,Jen-Hsun Huang,13642838,155035,88,Information Technology,Semiconductors,yes
"NVR, Inc.",Paul C. Saville,3987000,78448,51,Consumer Discretionary,Homebuilding,yes
O'Reilly Automotive,Greg D. Johnson,4866262,21373,228,Consumer Discretionary,Specialty Stores,yes
Occidental Petroleum,Vicki A. Hollub,16017683,185259,86,Energy,Oil & Gas Exploration & Production,yes
Old Dominion Freight Line,Greg C. Gantt,7344950,81583,90,Industrials,Trucking,yes
Omnicom Group,John D. Wren,19818780,44059,450,Communication Services,Advertising,yes
ONEOK,Terry K. Spencer,10945741,136080,80,Energy,Oil & Gas Storage & Transportation,yes
Oracle Corp.,Safra A. Catz,964055,87402,11,Information Technology,Application Software,yes
Otis Worldwide,Judy Marks,6956644,76627,91,Industrials,Industrial Machinery,partial
PACCAR Inc.,R. P. Feight,3602049,79414,45,Industrials,Construction Machinery & Heavy Trucks,partial
Packaging Corporation of America,Mark W. Kowlzan,10338117,71268,145,Materials,Paper Packaging,yes
Parker-Hannifin,Thomas L. Williams,17472500,57282,305,Industrials,Industrial Machinery,yes
Paychex Inc.,Martin Mucci,8068717,59642,135,Information Technology,Data Processing & Outsourced Services,yes
Paycom,Chad Richison,21138558,64408,328,Information Technology,Application Software,yes
PayPal,Daniel H. Schulman,25825473,70405,367,Information Technology,Data Processing & Outsourced Services,yes
Pentair plc,John L. Stauch,6413860,59187,108,Industrials,Industrial Machinery,yes
People's United Financial,John P. Barnes,5700284,66596,86,Financials,Thrifts & Mortgage Finance,yes
PepsiCo Inc.,Ramon Laguarta,16870817,45896,368,Consumer Staples,Soft Drinks,yes
PerkinElmer,Prahlad R. Singh PhD,16481787,46161,357,Health Care,Health Care Equipment,yes
Perrigo,Murray S. Kessler,10525298,82616,127,Health Care,Pharmaceuticals,yes
Pfizer Inc.,A. Bourla,17928963,98972,181,Health Care,Pharmaceuticals,yes
Philip Morris International,Andre Calantzopoulos,22125060,19134,1156,Consumer Staples,Tobacco,yes
Phillips 66,Greg Garland,31927081,188738,169,Energy,Oil & Gas Refining & Marketing,yes
Pinnacle West Capital,Donald E. Brandt,12145522,133779,91,Utilities,Multi-Utilities,yes
Pioneer Natural Resources,Scott D. Sheffield,13355547,120000,111,Energy,Oil & Gas Exploration & Production,partial
PNC Financial Services,William S. Demchak,16555752,76131,217,Financials,Regional Banks,yes
Pool Corporation,Peter D. Arvan,3290220,50095,66,Consumer Discretionary,Distributors,yes
PPG Industries,M. H. McGarry,15117938,40598,372,Materials,Specialty Chemicals,yes
PPL Corp.,William H. Spence,14142567,147463,96,Utilities,Electric Utilities,yes
Principal Financial Group,Daniel J. Houston,12244054,82872,148,Financials,Life & Health Insurance,yes
Procter & Gamble,David S. Taylor,22905128,68883,333,Consumer Staples,Personal Products,yes
Progressive Corp.,Susan Patricia Griffith,14041272,66285,212,Financials,Property & Casualty Insurance,yes
Prologis,Hamid Moghadam,30383438,117751,258,Real Estate,Industrial REITs,yes
Prudential Financial,Charles F. Lowrey,26634837,104092,256,Financials,Life & Health Insurance,yes
Public Service Enterprise Group (PSEG),Ralph Izzo,13074227,142188,92,Utilities,Electric Utilities,yes
Public Storage,Joseph D. Russell Jr.,4289200,26001,165,Real Estate,Specialized REITs,yes
PulteGroup,Ryan R. Marshall,9216065,96842,95,Consumer Discretionary,Homebuilding,yes
PVH Corp.,Emanuel Chirico,17065604,18089,943,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",yes
Qorvo,Robert A. Bruggeworth,7394904,47290,156,Information Technology,Semiconductors,yes
Quanta Services Inc.,Earl C. (Duke) Austin Jr.,8808204,87144,101,Industrials,Construction & Engineering,yes
QUALCOMM Inc.,Steve Mollenkopf,23065052,90259,256,Information Technology,Semiconductors,yes
Quest Diagnostics,Stephen H. Rusckowski,9966964,46749,213,Health Care,Health Care Services,yes
Ralph Lauren Corporation,Patrice Louvet,12170470,21358,570,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",yes
Raymond James Financial Inc.,Paul C. Reilly,13090394,94864,138,Financials,Investment Banking & Brokerage,yes
Raytheon Technologies,Gregory Hayes,21538847,76417,282,Industrials,Aerospace & Defense,yes
Realty Income Corporation,Sumit Roy,7538883,99644,76,Real Estate,Retail REITs,yes
Regency Centers Corporation,Martin E. Stein Jr.,5619541,101379,55,Real Estate,Retail REITs,yes
Regeneron Pharmaceuticals,Leonard S. Schleifer M.D. Ph.D.,26520555,134115,198,Health Care,Biotechnology,yes
Regions Financial Corp.,John M. Turner Jr.,13128415,60621,217,Financials,Regional Banks,yes
Republic Services Inc,Donald W. Slager,12617294,63899,197,Industrials,Environmental & Facilities Services,yes
ResMed,Michael Farrell,9635100,60918,158,Health Care,Health Care Equipment,yes
Robert Half International,M. Keith Waddell,7433592,19806,375,Industrials,Human Resource & Employment Services,yes
Rockwell Automation Inc.,Blake Moret,11710200,86445,135,Industrials,Electrical Components & Equipment,no
Rollins Inc.,Gary W. Rollins,4780854,50134,95,Industrials,Environmental & Facilities Services,yes
Roper Technologies,L. Neil Hunn,29054430,88707,328,Industrials,Industrial Conglomerates,yes
Ross Stores,Barbara Rentler,12248994,10027,1222,Consumer Discretionary,Apparel Retail,yes
Royal Caribbean Group,Richard D. Fain,14358919,17303,830,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",yes
"S&P Global, Inc.",Douglas L. Peterson,12152512,27860,436,Financials,Financial Exchanges & Data,yes
Salesforce.com,Marc Benioff,25969494,152706,170,Information Technology,Application Software,partial
SBA Communications,Jeffrey A. Stoops,10156251,92370,110,Real Estate,Specialized REITs,yes
Schlumberger Ltd.,Olivier Le Peuch,22247160,71021,313,Energy,Oil & Gas Equipment & Services,yes
Seagate Technology,William D. Mosley,11698767,9471,1235,Information Technology,"Technology Hardware, Storage & Peripherals",yes
Sealed Air,Edward L. Doheny II,8989757,55804,161,Materials,Paper Packaging,yes
Sempra Energy,Jeffrey W. Martin,19829297,145951,136,Utilities,Multi-Utilities,yes
ServiceNow,William R. McDermott,21561715,223554,96,Information Technology,Systems Software,yes
Sherwin-Williams,John G. Morikis,14854731,42590,349,Materials,Specialty Chemicals,yes
Simon Property Group Inc,David Simon,10439378,62457,167,Real Estate,Retail REITs,yes
Skyworks Solutions,Liam K. Griffin,13660593,21852,625,Information Technology,Semiconductors,yes
SL Green Realty,Marc Holliday,20990016,71887,292,Real Estate,Office REITs,yes
Snap-on,Nicholas T. Pinchuk,7560073,60721,125,Industrials,Industrial Machinery,yes
Southern Company,Thomas A. Fanning,13097691,113035,116,Utilities,Electric Utilities,yes
Southwest Airlines,Gary C. Kelly,7726455,78494,98,Industrials,Airlines,yes
Stanley Black & Decker,James M. Loree,18707111,43316,432,Industrials,Industrial Machinery,yes
Starbucks Corp.,Kevin R. Johnson,19241950,11489,1675,Consumer Discretionary,Restaurants,yes
State Street Corp.,Joseph L. Hooley,16119826,68527,235,Financials,Asset Management & Custody Banks,yes
STERIS plc,Walter M Rosebrough Jr.,6495539,61717,105,Health Care,Health Care Equipment,yes
Stryker Corp.,Kevin A. Lobo,14974829,70771,212,Health Care,Health Care Equipment,yes
SVB Financial,Greg Becker,10677545,132157,81,Financials,Regional Banks,yes
Synchrony Financial,Margaret Keane,12181183,45407,268,Financials,Consumer Finance,yes
Synopsys Inc.,Chi-Foon Chan,9628307,131740,73,Information Technology,Application Software,partial
Sysco Corp.,Thomas L. BenÃ©,10742679,70801,152,Consumer Staples,Food Distributors,yes
T-Mobile US,John J. Legere,27762231,62195,446,Communication Services,Wireless Telecommunication Services,yes
T. Rowe Price Group,William J. Stromberg,14588346,109916,133,Financials,Asset Management & Custody Banks,yes
Take-Two Interactive,Strauss Zelnick,18111761,62816,288,Communication Services,Interactive Home Entertainment,yes
"Tapestry, Inc.",Jide Zeitlin,4911860,28523,172,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",yes
Target Corp.,Brian C. Cornell,18938363,23080,821,Consumer Discretionary,General Merchandise Stores,yes
TE Connectivity Ltd.,Terrence R. Curtin,9291836,20846,446,Information Technology,Electronic Manufacturing Services,yes
TechnipFMC,Douglas J. Pferdehirt,15351206,63294,243,Energy,Oil & Gas Equipment & Services,yes
Teledyne Technologies,Robert Mehrabian,5915367,110027,54,Industrials,Aerospace & Defense,no
Teleflex,Liam J. Kelly,6782758,46589,146,Health Care,Health Care Equipment,yes
Teradyne,Mark E. Jagiela,8007913,97185,82,Information Technology,Semiconductor Equipment,yes
Texas Instruments,Richard K. Templeton,18655972,82034,227,Information Technology,Semiconductors,yes
Textron Inc.,Scott C. Donnelly,18942936,99196,191,Industrials,Aerospace & Defense,yes
Thermo Fisher Scientific,Marc N. Casper,19023145,80915,235,Health Care,Life Sciences Tools & Services,yes
Tiffany & Co.,Alessandro Bogliolo,10940139,33642,325,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",yes
TJX Companies Inc.,Ernie Herrman,19083676,12006,1590,Consumer Discretionary,Apparel Retail,yes
Tractor Supply Company,Gregory A. Sandfort,8655358,28524,303,Consumer Discretionary,Specialty Stores,yes
Trane Technologies plc,M. W. Lamach,24217128,54757,442,Industrials,Building Products,yes
TransDigm Group,Kevin Stein,13135200,44072,298,Industrials,Aerospace & Defense,yes
The Travelers Companies Inc.,Alan D. Schnitzer,16791247,111170,151,Financials,Property & Casualty Insurance,yes
Truist Financial,Kelly S. King,11509407,101421,113,Financials,Regional Banks,yes
"Twitter, Inc.",Jack Dorsey,1,213155,0,Communication Services,Interactive Media & Services,yes
Tyler Technologies,H. Lynn Moore Jr.,19835252,84516,235,Information Technology,Application Software,yes
Tyson Foods,Noel White,10398160,36681,283,Consumer Staples,Packaged Foods & Meats,yes
"UDR, Inc.",Thomas W. Toomey,6307734,66909,94,Real Estate,Residential REITs,yes
Ulta Beauty,Mary N. Dillon,14257713,25666,556,Consumer Discretionary,Specialty Stores,yes
U.S. Bancorp,Andrew Cecere,18801847,69775,269,Financials,Diversified Banks,yes
Under Armour,Kevin Plank,5954169,12126,491,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",yes
Union Pacific Corp,Lance M. Fritz,15018400,79446,189,Industrials,Railroads,yes
United Airlines Holdings,Oscar Munoz,12643005,74750,169,Industrials,Airlines,yes
UnitedHealth Group Inc.,David S. Wichmann,18907522,54322,348,Health Care,Managed Health Care,yes
United Parcel Service,David P. Abney,18040841,74395,243,Industrials,Air Freight & Logistics,yes
"United Rentals, Inc.",Matthew Flannery,6215830,73881,84,Industrials,Trading Companies & Distributors,yes
Universal Health Services,Alan B. Miller,24473240,38931,629,Health Care,Health Care Facilities,yes
Unum Group,Richard P. McKenney,9896861,62475,158,Financials,Life & Health Insurance,yes
VF Corporation,Steven E. Rendle,17842521,10099,1767,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",yes
Valero Energy,Joseph W. Gorder,28175952,272417,103,Energy,Oil & Gas Refining & Marketing,yes
Varian Medical Systems,Dow R. Wilson,9446296,109548,86,Health Care,Health Care Equipment,yes
Ventas Inc,Debra A. Cafaro,11348335,101004,112,Real Estate,Health Care REITs,yes
Verisign Inc.,D. James Bidzos,9024073,180475,50,Information Technology,Internet Services & Infrastructure,yes
Verisk Analytics,Scott G. Stephenson,9050882,77055,117,Industrials,Research & Consulting Services,yes
Verizon Communications,Hans Vestberg,18111823,172971,105,Communication Services,Integrated Telecommunication Services,yes
Vertex Pharmaceuticals Inc,Jeffrey M. Leiden,18800000,232178,81,Health Care,Biotechnology,yes
ViacomCBS,Robert M. Bakish,36572367,104791,349,Communication Services,Movies & Entertainment,yes
Visa Inc.,Alfred F. Kelly Jr.,24265771,142494,170,Information Technology,Data Processing & Outsourced Services,yes
Vontier,James A. Lico,13720993,56718,242,Information Technology,Electronic Equipment & Instruments,yes
Vornado Realty Trust,Steven Roth,11466885,65442,175,Real Estate,Office REITs,yes
Vulcan Materials,J. Thomas Hill,9574528,85562,112,Materials,Construction Materials,yes
W. R. Berkley Corporation,W. Robert Berkley Jr.,11017931,105106,105,Financials,Property & Casualty Insurance,yes
Westinghouse Air Brake Technologies Corp,Rafael Santana,7484027,42045,178,Industrials,Construction Machinery & Heavy Trucks,yes
Walmart,C. Douglas McMillon,22105350,22484,983,Consumer Staples,Hypermarkets & Super Centers,yes
Walgreens Boots Alliance,Stefano Pessina,19156202,34074,562,Consumer Staples,Drug Retail,yes
DISNEY WALT CO,Robert A. Iger,47525560,52184,911,Communication Services,Movies & Entertainment,yes
Waste Management Inc.,James C. Fish Jr.,11298101,76048,149,Industrials,Environmental & Facilities Services,yes
Waters Corporation,Christopher J. O'Connell,8258221,78872,105,Health Care,Health Care Distributors,yes
WEC Energy Group,J. Kevin Fletcher,9262101,127703,73,Utilities,Electric Utilities,yes
Wells Fargo,Charles W. Scharf,36288490,65931,550,Financials,Diversified Banks,yes
Welltower Inc.,Thomas J. DeRosa,13142124,90811,145,Real Estate,Health Care REITs,yes
West Pharmaceutical Services,Eric M. Green,6479661,49229,132,Health Care,Health Care Supplies,yes
Western Digital,Stephen D. Milligan,12866469,10063,1279,Information Technology,"Technology Hardware, Storage & Peripherals",yes
Western Union Co,Hikmet Ersek,10099500,31966,316,Information Technology,Data Processing & Outsourced Services,yes
WestRock,Steven C. Voorhees,11659257,58183,200,Materials,Paper Packaging,yes
Weyerhaeuser,Devin W. Stockfish,9957168,63464,157,Real Estate,Specialized REITs,yes
Whirlpool Corp.,Marc R. Bitzer,14011663,20765,675,Consumer Discretionary,Household Appliances,yes
Williams Companies,Alan S. Armstrong,15590338,177403,88,Energy,Oil & Gas Storage & Transportation,yes
Willis Towers Watson,John Haley,18691731,70319,266,Financials,Insurance Brokers,yes
Wynn Resorts Ltd,Matt Maddox,17227260,44492,387,Consumer Discretionary,Casinos & Gaming,yes
Xcel Energy Inc,Ben Fowke,12147768,108946,112,Utilities,Multi-Utilities,yes
Xerox,Giovanni (John) Visentin,23902481,43953,544,Information Technology,"Technology Hardware, Storage & Peripherals",yes
Xilinx,Victor Peng,11222252,133233,84,Information Technology,Semiconductors,yes
Xylem Inc.,Patrick K. Decker,8300000,49549,168,Industrials,Industrial Machinery,yes
Yum! Brands Inc,Greg Creed,16369090,11584,1413,Consumer Discretionary,Restaurants,yes
Zebra Technologies,Anders Gustafsson,10150109,66632,152,Information Technology,Electronic Equipment & Instruments,yes
Zimmer Biomet,Bryan C. Hanson,11176720,69683,160,Health Care,Health Care Equipment,yes
Zions Bancorp,Harris H. Simmons,4363039,66890,65,Financials,Regional Banks,yes
Zoetis,Juan RamÃ³n Alaix,11669400,75366,155,Health Care,Pharmaceuticals,yes
